gene,rate
AGTR1,4.38601126925808e-06
AGTR2,1.05138776047195e-06
AGTRAP,1.06356593829983e-06
AGXT,1.38249463750055e-06
AGXT2,1.07999892178718e-06
AHCTF1,2.14499313754799e-06
AHCY,3.59697438369591e-06
AHCYL1,2.73931358472762e-06
AHCYL2,1.8338351542152e-06
AHDC1,1.88200795694136e-06
AHI1,1.1684423699154e-06
AHNAK,3.01417893277962e-06
AHNAK2,6.34729120782309e-06
AHR,2.98520444737773e-06
AHRR,3.52167252238405e-06
AHSA1,8.06432300885078e-07
AHSA2,9.66727133530196e-07
AHSG,8.81296017498103e-06
AHSP,3.59196133264793e-06
AICDA,3.30988372226538e-06
AIDA,2.00950876049477e-06
AIF1,1.98402459895795e-06
AIF1L,2.52515327867092e-06
AIFM1,2.35498172801857e-06
AIFM2,1.55871364372954e-06
AIFM3,2.57002137115754e-06
AIG1,1.40703017119246e-06
AIM1,2.15238545008041e-06
AIM1L,1.96608611462342e-06
AIM2,4.63313750145928e-06
AIMP1,7.98657360480671e-07
AIMP2,9.81581551037932e-07
AIP,1.12186451189611e-06
AIPL1,7.05875750496374e-06
AIRE,6.52861703405842e-06
AJAP1,5.54744437917707e-06
AJUBA,1.92685133007071e-06
AK1,3.05217289241657e-06
AK2,9.66459482436701e-07
AK3,2.52262606310193e-06
AK4,2.97196076622654e-06
AK5,4.53973270717228e-06
AK7,3.05441078010858e-06
AK8,1.88482765172412e-06
AK9,1.62017400312961e-06
AKAP1,1.34674507552159e-06
AKAP10,1.18219238866997e-06
AKAP11,1.59815432867575e-06
AKAP12,3.54295030323069e-06
AKAP13,2.30460686616751e-06
AKAP14,3.00971613793617e-06
AKAP17A,1.40929898087365e-06
AKAP2,1.51569646944064e-06
AKAP3,4.39477930904116e-06
AKAP4,6.22819711247322e-06
AKAP5,2.90649936334703e-06
AKAP6,3.9905064441781e-06
AKAP7,1.14121618956047e-06
AKAP8,3.03486587706143e-06
AKAP8L,1.28839584471369e-06
AKAP9,2.46030511476276e-06
AKIP1,1.03879258730004e-06
AKIRIN1,1.72247559173565e-06
AKIRIN2,1.34913421925016e-06
AKNA,2.87878553205018e-06
AKNAD1,2.79759834058841e-06
AKR1A1,3.78836287550954e-06
AKR1B1,3.98943933806513e-06
AKR1B10,7.94813118173764e-06
AKR1B15,2.4445988791376e-06
AKR1C1,2.16883223214449e-06
AKR1C2,1.39068388533438e-06
AKR1C3,1.425125140325e-06
AKR1C4,2.01959851413546e-06
AKR1CL1,5.78305836774519e-06
AKR1D1,4.84885655255034e-06
AKR1E2,5.38729846770845e-06
AKR7A2,1.9010057720354e-06
AKR7A3,3.89724897548828e-06
AKT1,7.4559711314346e-07
AKT1S1,1.22624937799913e-06
AKT2,1.95210858885024e-06
AKT3,3.65940937021194e-06
AKTIP,9.20881322159598e-07
AL031320.1,1.02443225335074e-06
AL031590.1,7.06040098797801e-06
AL031663.1,1.86628835602949e-06
AL033381.1,3.09343723905962e-06
AL035588.1,1.90928648529448e-06
AL035681.1,7.48030030581122e-07
AL050302.1,6.2287096269014e-06
AL050303.1,3.26023071625362e-06
AL078585.1,2.59550981507302e-06
AL079342.1,3.101713433616e-06
AL096677.1,1.20457210852908e-06
AL109659.1,2.1982313132689e-06
AL117190.3,3.21942816373282e-06
AL118506.1,1.03085304883485e-06
AL121895.1,1.00259788373316e-06
AL121901.1,2.68345769806524e-06
AL132989.1,1.27151103519542e-06
AL133262.1,1.20817040207688e-06
AL133318.1,1.73248589717038e-06
AL133373.1,2.61219578197537e-06
AL133481.1,1.38096307151749e-06
AL135998.1,9.2400054585942e-07
AL136218.1,7.79586591454181e-07
AL136531.1,8.7325081258676e-07
AL137002.1,2.57240869840582e-06
AL137026.1,3.78276472875251e-06
AL138764.1,1.01422323456612e-06
AL138815.1,6.08579971016068e-06
AL138815.2,3.19691997830014e-06
AL138847.1,2.98957657873686e-06
AL139080.1,2.61021449808164e-06
AL139147.1,1.77299276849173e-06
AL139333.1,3.56388629701474e-06
AL158091.1,1.47389181866828e-06
AL158147.2,1.5721753132973e-06
AL160175.1,1.29252447467734e-06
AL160274.1,1.12850937314058e-06
AL160286.1,3.61153020783253e-06
AL161450.1,9.52762944942109e-07
AL161645.2,3.6729966706133e-06
AL161915.1,8.5000884692684e-07
AL162389.1,1.9431014737799e-06
AL162424.1,1.51919809254066e-06
AL162431.1,2.37474669447839e-06
AL353354.1,1.86798933141464e-06
AL353583.1,2.08624925818446e-06
AL353608.1,2.43771456044316e-06
AL353698.1,2.16874592041421e-06
AL354718.1,1.46082878932096e-06
AL354808.2,2.36007846058118e-06
AL355390.1,3.70485088778454e-06
AL355490.1,7.3091732090369e-07
AL355531.2,2.66412646503789e-06
AL356215.1,6.23176915606244e-07
AL357673.1,1.20668884545566e-06
AL359091.2,1.21990361953631e-06
AL359195.1,1.21757370571219e-06
AL359693.1,1.83906756988145e-06
AL359878.1,1.01995314360468e-06
AL360004.1,1.80229377126198e-06
AL365202.1,3.90565454907653e-06
AL390778.1,2.26407635135765e-06
AL391421.1,1.55974354681301e-06
AL445665.1,2.07028934199571e-06
AL445989.1,8.2901847200926e-06
AL450307.1,3.41672570909877e-06
AL513478.1,2.61456760400906e-06
AL589739.1,1.16201314497918e-06
AL590452.1,1.20569672281005e-06
AL590483.1,2.37979721695852e-06
AL590560.1,1.04153193912834e-06
AL590708.2,1.00329295863265e-06
AL590714.1,1.01556233188742e-06
AL590822.2,6.10674944777014e-07
AL590867.1,2.56968599261438e-06
AL591025.1,1.98780962592796e-06
AL591479.1,2.23808555871985e-06
AL591806.1,1.58173889143751e-06
AL592284.1,1.44396839258755e-06
